PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
CLEpolice,64339585,the_real_gregj,Greg Jacobson ,Tweet me on Twitter bro,136,148,0.918918919,CLEVELAND,Local,0,0,<1,"Cleveland, OH",Not Identified
PortlandPolice,64626462,thurios,thurios,Very simple person. I am a truck driver and a writer.,219,155,1.412903226,"Earth, I think. ",Local,0,0,1->2,"Portland, Oregon",Media
SLMPD,64816476,stl_blonde,Andrea Chapman,"The girl next door, conservatarian, CPA, fashionista, @StLouisBlues fan, @Arsenal FC Goonerette, happily married wife, and @RedEyeFNC addict. @Mizzou alumna",8427,2929,2.877091157,"St. Louis, MO",Local,0,0,>10,"St. Louis, MO",Not Identified
NYPDnews,64820784,cairaconner,Caira Conner,Community Editor @MicNews. Lover of live music and good writing. I laugh during my own jokes.,1880,588,3.197278912,"New York, NY",Local,0,0,>10,New York City,Media
SFPD,64954775,calakeepitlit,Cal-A Keep It Lit,Producer | Cal-A@FreeBreadINTL.com,3432,623,5.50882825,Building a Cathedral,Local,0,0,2->10,"San Francisco, CA",Other Sectors
SLMPD,65078170,jolene5525,Jolene ,"I have never lived by the applause of mankind, thus I shall never die by their criticism",560,1767,0.316921336,,Missing,0,0,<1,"St. Louis, MO",Not Identified
NYPDnews,65089824,icny,Interfaith Center NY,ICNY seeks to make New York City safe for religious difference by increasing respect & mutual understanding.,3771,1501,2.512325117,New York City,Local,0,0,>10,New York City,Not Identified
SLMPD,65184517,lizsellsstl,Liz,"Energetic & Passionate about Serving Others. Real Estate Agent with Remax Results. Runner, Lover of Food, & my #STL.",773,1875,0.412266667,"St Louis, MO",Local,0,0,<1,"St. Louis, MO",Not Identified
NYPDnews,65277959,shimonpro,Shimon Prokupecz,Covering Law Enforcement For CNN shimon.prokupecz@cnn.com,8078,1210,6.676033058,,Missing,0,0,>10,New York City,Other Sectors
NYPDnews,65363823,justicethepoet,Soon U'll Understand,"Rewind and refine. In time, there's more to find...#ToLoveABlackWoman",1022,514,1.988326848,The Halls of Justice,Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,65503437,black_von,Michelle Vaughan,"Artist, news junkie and generally curious. Oyster shooter.",1238,793,1.561160151,"iPhone: 40.725079,-73.992104",Non-Local,0,0,1->2,New York City,Other Sectors
PortlandPolice,65676518,amyjuris,Amy Johnson,"I love good design, left-handers, delicious food, amazing friends and Wes Anderson movies.",30,144,0.208333333,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
ScottsdalePD,65803294,auntinaz,Gail Turley,"Aunt, Sister, Daughter, Writer, Friend, Fan",718,1113,0.645103324,"Mesa, AZ",Non-Local,0,0,<1,"Scottsdale, Arizona",Not Identified
PortlandPolice,65945057,bryanstratton,Bryan Stratton,The First MillennialŒ_í£Œ¢,244,116,2.103448276,"Portland, OR",Local,0,0,2->10,"Portland, Oregon",Not Identified
BPDVT,65958052,seleneonline,Selene Hofer-Shall,,466,425,1.096470588,"Burlington, VT",Local,0,0,1->2,"Burlington, Vermont",Not Provided
NYPDnews,66039551,rich_kruse,Rich Kruse,Networker Extraordinaire. Douglas Elliman RealEstate. SELLING/Finding Your HOME/ Comm Property/LSP SocialMedia-Speaker-BrandAmbassador Founder/ExecuLeaders,10314,10740,0.960335196,Long Island & NYC,Local,0,0,<1,New York City,Not Identified
detroitpolice,66142373,damn_he_evil,Detroit~VS~Everybody,#TeamChubbyNigga  #DetroitIsMyYard #TeamLeo FreeMyBigBroTayŒ_ŒÈ_ #ProudToBeAhMafuckinProblem I'm a OG *Original # GentlemenŒ_í£Œ¢,718,1220,0.58852459,2/14/2015,Non-Local,0,0,<1,"City of Detroit, MI",Not Identified
NYPDnews,66167169,church_ave_x,Foot's Spilotory ,"SHAWTY DONT WANT ME SHE WANTS WAT I CAN GIVE HER

10 BEDROOMS SWIMMIN POOL AN A RIVER SHE'D HAVE ALL 3 IF I WAS A WEAK NIGGA Œ_ŒÈŒè",616,568,1.084507042,"E 34ST EAST FLATBUSH, BROOKLYN",Local,0,0,1->2,New York City,Not Identified
PortlandPolice,66238285,parispective,.polluxlovescastor.,"I'm the wind, not the wave.",1050,396,2.651515152,"Euphoria, higher self.",Non-Local,0,0,2->10,"Portland, Oregon",Not Identified
PortlandPolice,66301020,stolen911,Stolen 911,"List, Find & Share Stolen Property & random tweets by Marc @heyhinch",94,267,0.352059925,USA & Canada,Non-Local,0,0,<1,"Portland, Oregon",Not Identified
sppdPIO,66493463,profbanks,Jess Banks,"Wife, mom, prof, historian, gamer, spoonie, crafter, activist, autistic, UU. Office mgr at @AtlasGames & 2015 St Paul School Board candidate.",2486,1189,2.090832632,"Saint Paul, MN",Local,0,0,>10,"St. Paul, MN",Other Sectors
StocktonPolice,66720775,breapd,Brea Police Dept,"Serving Brea, California",3882,93,41.74193548,"Brea, CA",Non-Local,0,0,>10,"Stockton, CA, USA",Not Identified
NYPDnews,66723691,justinwedes,Justin Wedes,"Educator & social justice activist. Founder @FreedomSchoolBK, @AfterPartyUSA, @DetWaterBrigade. Former @OccupyWallStNYC admin. Stubborn optimist. #DetroitWater",4982,2052,2.427875244,Detroit,Non-Local,0,0,2->10,New York City,Other Sectors
SLMPD,66739464,savonniyestanti,Dr. SaVonni Yestanti,"POSITIVE Goal Minded Woman of God, Mom, Rh-, Vegan, Advocate for Nature & People, Artist, Writer, Business Developer, RISER, Politically Motivated by PROGRESS.",33961,33608,1.010503452,USA/Int #UniteBlue #DCCC #OFA,Local,0,0,1->2,"St. Louis, MO",Other Sectors
NYPDnews,66748188,stefpante,Stef Pante,i solemnly sware that i am up to no good. RU15,472,818,0.577017115,Jersey,Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,66750855,erichaywood,Eric Haywood,"Screenwriter (EMPIRE, PRIVATE PRACTICE, SOUL FOOD, RELATIVE STRANGER). Director (FOUR OF HEARTS). Watching your TV show is not an endorsement.",6485,980,6.617346939,8816 Manda Lane,Non-Local,0,0,>10,New York City,Media
NYPDnews,66763015,blackoutpete,blackoutpete,Producer. Director. Writer. Creator. Now playing: Late with Lance! @LanceLate @edfringe @artstheatreLDN,2233,2016,1.107638889,NYC,Local,0,0,1->2,New York City,Media
NYPDnews,66925534,jaymtaylor,Jay M. Taylor,"VA - VT - Wolf - DEN - BoCo. BizDev @Hive_SG, writer @WyattResearch + @SeekingAlpha, instructor at @KeystoneMtn. Love @TheBoulderPhil + @HumaneBoulder",244,352,0.693181818,"Boulder, CO",Non-Local,0,0,<1,New York City,Media
NYPDnews,66931709,meanguitar,MeanGuitar,"Freemarket Capitalist Anti -Progressive/socialist , I also have many interests including  science and natural health I love to share great info about anything",1355,1575,0.86031746,    í‚íèí‚í»í‚íùí‚Œ©í‚Œù í‚íùí‚íîí‚í´í‚Œ«,Non-Local,0,0,<1,New York City,Not Identified
SLMPD,66978803,1guesst,Guess,"Black, black heart.",62,190,0.326315789,,Missing,0,0,<1,"St. Louis, MO",Not Identified
VBPD,67024603,jessicanlarche,Jessica Larche,"WTKR morning anchor and investigative reporter. Weight loss journey blogger. I love God, my family and friends. Addicted to laughter.",1841,882,2.087301587,"Norfolk, Va",Non-Local,0,0,>10,"Virginia Beach, VA",Media
NYPDnews,67150356,spacejamvisuals,Steph Curry Brother,Latinas & African Queens are always welcomed w/ a complementary Cookbook & Utensils. Gracias | Panamanian | Snap: Lux_Los | Knicks/Warriors #GrindNowSmileLater,298,285,1.045614035,Your Nudes Are Safe,Non-Local,0,0,1->2,New York City,Other Sectors
NYPDnews,67235869,jacobsonalan,Alan Jacobson,National Bestselling Author of jaw-dropping thrillers. EBook pundit with 19 years of NYC publishing industry bruises and the insight and cynicism to prove it.,474,287,1.651567944,"California, USA",Non-Local,0,0,1->2,New York City,Not Identified
NYPDnews,67392413,orlandorosas,Orlando Rosas,,25,36,0.694444444,NYC,Local,0,0,<1,New York City,Not Provided
NYPDnews,67651976,ddartley,David Dartley,I bike slow; get there fast. I dream about ways NYC could slow all vehicles (yes bikes too) yet preserve speed capability of emergency vehicles+bus. #voiceover,311,772,0.402849741,"New York, NY",Local,0,0,<1,New York City,Not Identified
NYPDnews,67683346,kbyrne91,Kevin Byrne,"Broadcast/Digital Journo ( @NBC, @CBS, @EW, @FOXTV ). Educator. Trivia Junkie. Semi-insomniac. Amateur Thesp. Film Fanatic. Class Clown. If I opine, it's mine.",784,658,1.191489362,New York / New Jersey,Local,0,0,1->2,New York City,Not Identified
NYPDnews,67735755,concordmapd,ConcordMAPolice,Official Twitter account of the Concord Police Department. Account is not monitored 24/7. For emergencies call 911.,1523,362,4.20718232,Concord Massachusetts,Non-Local,0,0,2->10,New York City,Police
SLMPD,67801509,brucefranksjr,OOOPS IN DA BUILDING,,3855,1532,2.516318538,"íëíŸí«íóí«_T: 38.75572,-90.214075",Local,0,0,>10,"St. Louis, MO",Not Provided
NYPDnews,67837083,cjckoch,Chris Koch,"Corporate Sales Manager (SME) @HootSuite #socbiz, sport enthusiast, skier, car singer, and sock weirdo. http://kochsocks.tumblr.com Tweets are mine.",1576,1923,0.819552782,"íëíèT: 49.161373,-122.662375",Local,0,0,<1,New York City,Other Sectors
NYPDnews,68311882,lordrob__,The Lord. ,"I done did impossible a few times, Tom Cruise shit",452,93,4.860215054,,Missing,0,0,>10,New York City,Not Identified
SFPD,68325967,agilemeister,Angeline Tan,"Badass agile practitioner & instigator, Delicate flower w/ a big mouth. Lean Startup evangelist. Tweets & opinions are mine & mine only.  @Addicaid early funder",1335,578,2.309688581,San Francisco/Singapore,Local,0,0,>10,"San Francisco, CA",Not Identified
VBPD,68465437,jamie_bastas,Jamie Bastas,"Member of #TeamAM @WAVY_News. Assignment Desk/10 On Your Side. Wife, Mommy, Hampton Roads native * RT Œ_í_í_ endorsements * http://www.wavy.com",1104,1721,0.641487507,"Hampton Roads, VA",Non-Local,0,0,<1,"Virginia Beach, VA",Not Identified
NYPDnews,68499333,frankies_friend,Frankie's Friends,Why Give? To Save Lives! Frankie's Friends helps support families who cannot afford emergency or specialty medical care for their pets.,763,924,0.825757576,FL GA IL KY MI MN NY TN,Local,0,0,<1,New York City,Not Identified
NYPDnews,68525003,kimpestalozzi,Kim Pestalozzi,Two-time Emmy Award-winning Producer @PIX11News | @Cronkite_ASU alum | Feisty | Chocoholic | Redhead with a soul :),496,934,0.531049251,New York City,Local,0,0,<1,New York City,Media
oaklandpoliceca,68558914,chanellehelm,Chanelle Helm,I'm a lover and a fighter- but don't push me! Original Janisha of all Trades! My kids call me Mommy! Abolitionist at Universal Freedom,479,1271,0.376868607,The Universe,Non-Local,0,0,<1,"Oakland, CA",Not Identified
NYPDnews,68614105,romanolney,Roman Olney,global citizen,139,126,1.103174603,"Beijing, China",Non-Local,0,0,1->2,New York City,Not Identified
PortlandPolice,68620552,adelantando,Adelantando,"Molecular/Microbiology graduate, world traveler, published photographer, and Portland foodie.",297,1203,0.246882793,N 33í«Œç26' 0'' / W 112í«Œç0' 0'',Local,0,0,<1,"Portland, Oregon",Other Sectors
SFPD,68733988,monicazlam,Monica Lam,Producer of #KQEDNewsroom @KQED Public Media. http://linkedin.com/in/monicalam/,586,568,1.031690141,"Berkeley, CA",Non-Local,0,0,1->2,"San Francisco, CA",Media
NYPDnews,68754498,mikeloburgio,MichaelLoBurgio,"Grandpa Dad Jayhawk Old Hippie 

When I do good I feel good. When I do bad I feel bad, 

Thats my Religion. 

Abraham Lincoln",11855,11359,1.043665816,Brownbackistan,Non-Local,0,0,1->2,New York City,Not Identified
PortlandPolice,68899650,intersection911,Steve 911,"public advocate tracking transportation, housing, poverty, public health, race, and media. live from #RIPCITY",989,432,2.289351852,"Portland, Oregon",Local,0,0,>10,"Portland, Oregon",Other Sectors
StocktonPolice,69051618,hngover,Rob Stockman,"actor, drummer, singer, work for the cable company to pay the bills",159,160,0.99375,"San Diego, CA ",Non-Local,0,0,<1,"Stockton, CA, USA",Other Sectors
SLMPD,69065230,21stward,21st Ward,News and updates from St. Louis City's 21st Ward,1237,140,8.835714286,"St. Louis, MO",Local,0,0,>10,"St. Louis, MO",Media
PortlandPolice,69368886,philiphevans,Philip Evans,"CEO of ProtoCall Services & Managing Partner @CrisisAccess; creating compassionate, hopeful & effective crisis services for individuals and their communities.",96,150,0.64,"Portland, Oregon",Local,0,0,<1,"Portland, Oregon",Other Sectors
SLMPD,69490281,mju1983,Mike Urban,"Hobbies of mine: Cars/Racing (Formula1), Economics & Finance, Golf, Guns/Target Shooting, History, Politics and Traveling.",568,551,1.030852995,The Show-Me State,Non-Local,0,0,1->2,"St. Louis, MO",Not Identified
SFPD,69513214,blondesforjesus,Bethlehem,"I make you laugh, I make me laugh, I make strangers laugh! Comedian/Producer/Rock A Billy Queen/Super Jock/Military Brat/Former 1st Chair French Horn/Hokie",356,840,0.423809524,USA,Non-Local,0,0,<1,"San Francisco, CA",Other Sectors
SFPD,69613724,aanoshir,arash,,2,13,0.153846154,,Missing,0,0,<1,"San Francisco, CA",Not Provided
oaklandpoliceca,69620017,neverxsummer,Kí«íÅm Nuccí«íÅ,"composer, saxophonist, painter, photographer",311,1078,0.288497217,"Greenpoint, NY - Oakland, CA",Local,0,0,<1,"Oakland, CA",Other Sectors
SFPD,69733861,visitcentralor,Visit Central Oregon,Bend-Sunriver & Beyond. Share your Central Oregon experiences with #visitcentraloregon,3591,685,5.242335766,"Bend / Sunriver, Oregon ",Non-Local,0,0,>10,"San Francisco, CA",Not Identified
oaklandpoliceca,69803460,okongobabanani,The African Witness,"Funny, intelligent, unapologetic, brutally honest, and at times cocky -- not your typical, stereotypical African man.",896,1312,0.682926829,"Oakland, CA",Local,0,0,<1,"Oakland, CA",Not Identified
NYPDnews,70060000,g187u,G,Politically incorrect Hi Functioning Sociopath pissing ppl off since 88.,328,240,1.366666667,Sodom or Gomorrah,Local,0,0,1->2,New York City,Not Identified
VBPD,70258299,katiecolletttv,Katie Collett,"Morning Anchor: 4:30am-9am, Midday Anchor: 12pm-1pm, @WAVY_News, Award Winning Journalist, Wife, Mommy, Sports Fanatic: Steelers, Pens, RedSox, Admirals, Tides",4213,1910,2.205759162,"Hampton Roads, VA",Non-Local,0,0,>10,"Virginia Beach, VA",Media
NYPDnews,70409072,indrisek,S.Indrisek,http://ARTINFO.COM. http://BRANTWATCH.COM. http://MARFALOVESYOU.COM. http://SHITMYCATSREAD.COM.,1624,2002,0.811188811,Bedford-Stuyvesant,Non-Local,0,0,<1,New York City,Not Identified
SFPD,70746464,leahgarchik,Leah Garchik,San Francisco Chronicle columnist Leah Garchik is a fine baker and mediocre accordion player.,4175,807,5.173482032,"San Francisco, CA",Local,0,0,>10,"San Francisco, CA",Not Identified
PortlandPolice,70807410,shanedkavanaugh,Shane D. Kavanaugh,National Security reporter at @Vocativ || Priors: @Oregonian; @nydailynews; @crainsnewyork || Holler: skavanaugh@vocativ.com,1762,973,1.810894142,Portland || Pacific Northwest,Local,0,0,1->2,"Portland, Oregon",Media
SFPD,70885275,porcelainchola,burger king,my butt deserves it's own account,374,334,1.119760479,bae area,Local,0,0,1->2,"San Francisco, CA",Not Identified
NYPDnews,70970350,plrodriguez,Pedro L Rodriguez,"Into all things fashion, food, travel, marketing & social media. Love my dog. Part of @peopleenespanol & blogger for @huffposttech :)",1644,1491,1.102615694,nyc,Local,0,0,1->2,New York City,Not Identified
SFPD,71150575,aptly_engineerd,Rebecca Pierce,"Filmmaker, Journalist, Weird Sister & Human Rorschach Test. Muddy the waters #BlackAndJewish",1844,2014,0.915590864,"The Bay, Muwekma Ohlone land",Local,0,0,<1,"San Francisco, CA",Media
NYPDnews,71361765,fbcso,Fort Bend Sheriff,Fort Bend County Sheriff's Office,2146,164,13.08536585,"1410 Williams Way Richmond, TX",Non-Local,0,0,>10,New York City,Police
SFPD,71364118,penusa,PEN Center USA,"PEN Center USAŒ_í_ŒÈs mission is to stimulate and maintain interest in the written word, to foster a vital literary culture, and to defend freedom of expression.",8514,1216,7.001644737,"Los Angeles, CA",Non-Local,0,0,>10,"San Francisco, CA",Other Sectors
SLMPD,71638316,tlb8275,Tonisha,"Mom. Atheist. Grad Student. Nerd. I tweet about race, politics, tech, writing, science, etc. #BlackLivesMatter",1080,1521,0.710059172,,Missing,0,0,<1,"St. Louis, MO",Not Identified
NYPDnews,72091061,jrleny,John LeNy,,48,17,2.823529412,"Staten Island, NY",Local,0,0,>10,New York City,Not Provided
SFPD,72109906,calgirl13,Lil E,,42,165,0.254545455,California,Non-Local,0,0,<1,"San Francisco, CA",Not Provided
NYPDnews,72122295,darlingchuck,Darling Chuck,BAE VIBEZ Œ__íÅŒ´í_Œè http://soundcloud.com/darlingchuck,932,339,2.749262537,NYC,Local,0,0,>10,New York City,Not Identified
NYPDnews,72175835,reid311,James Reid,I retweet all tiger photos to @nickyla14. //// Happiness is..,340,408,0.833333333,old bridge/belmar,Non-Local,0,0,<1,New York City,Not Identified
SLMPD,72435100,captonbyrd,Justin  Idleburg,"I am passionate, engaging speaker and advocate. Organic foods lover. Aquaponics Farmer ()",574,1258,0.456279809,"Saint Louis, Missouri ",Local,0,0,<1,"St. Louis, MO",Other Sectors
ScottsdalePD,72614152,tysonontv,Tyson Milanovich,"News junkie w/ lovable touches of snark & sarcasm. @Cronkite_ASU Alum, Seattle native, Woodinville Alum. Executive Producer ABC15 Morning News.",3212,1269,2.531126872,"Phoenix, AZ",Non-Local,0,0,2->10,"Scottsdale, Arizona",Media
BPDVT,72628683,howiegoldfarb,Howie Goldfarb,"CEO Blue Star Strategic Marketing - I help businesses grow. Tweets from #Vermont Localvore-Foodie, Coffee, Tree Lover, Outdoor Sports, Art and Space Daiquiris",2580,2541,1.015348288,Vermont,Non-Local,0,0,1->2,"Burlington, Vermont",Other Sectors
CLEpolice,72758191,kingbrotherman,BRIAN A. JOHNSON,"A good friend, broadcast professional news-journalist & admitted chocolate chip-a-holic who is committed to God & Loves People. Selah.",374,623,0.600321027,NEO,Non-Local,0,0,<1,"Cleveland, OH",Media
SpokanePD,72872128,zombie_woof,St. Alphonzo Xappa,"Dietary Chef, Media Whore, ameteur photographer, Vinyl collector , and self professed Beer connoisseur.",41,138,0.297101449,"Spokane, Wa.  South hill",Local,0,0,<1,"Spokane, WA",Other Sectors
PortlandPolice,72999416,findahometoday,Geoff &Cindy Worrell,"Franklin American Mortgage, NMLS 1599. NMLS MLO #12394 & #12399.  For important disclosures: http://www.franklinamerican.com/cindyworrell",320,1364,0.234604106,New England,Non-Local,0,0,<1,"Portland, Oregon",Not Identified
SFPD,73021703,blondielmao,Blondie Deville,I'm just a 12 year old boy trapped in a woman's body. This shit is insane! You see boobies & booty all I see is farts & pizza! I tweet about fap @THIQQ_COM,1361,679,2.004418262,"San Antonio, TX",Local,0,0,2->10,"San Francisco, CA",Not Identified
oaklandpoliceca,73071522,nice_publicsafe,NICE Security,"NICE helps organizations capture, analyze and leverage big data to anticipate, manage and mitigate security/safety risks, and make the world a safer place.",3573,566,6.312720848,,Missing,0,0,>10,"Oakland, CA",Not Identified
NYPDnews,73145176,olanikealabi,Olanike Alabi,State Committeewoman/District Leader AD 57.  Opinions expressed are solely mine. http://www.olanikealabi.org,438,205,2.136585366,Brooklyn,Non-Local,0,0,>10,New York City,Polictician
SpokanePD,73226803,lbyronseattle,Linda Byron,"KING-5 Investigative reporter with focus on criminal justice, traveler, foodie, soccer fan.  Email me lbyron@king5.com",3310,1803,1.835829174,Seattle,Non-Local,0,0,1->2,"Spokane, WA",Media
NYPDnews,73525922,jahbalon,jahbalon,Patriot and Justice Seeker,5937,5913,1.004058853,,Missing,0,0,1->2,New York City,Not Identified
SFPD,73569823,ramsesleroi,Ramses Bulatao,I drink my coffee straight black and my shot with no chaser. What's your talent? En/Tl/Es/Pt/Fr,199,1997,0.099649474,SF Bíë_ Area,Local,0,0,<1,"San Francisco, CA",Not Identified
SLMPD,73700944,cultofnewmedia,Cult Leader,"Cult Founder, Kraken Rehabilitator, Unicyclist, Ph.D.  May all beings be happy.",480,1442,0.332871012,Look Behind You. ,Non-Local,0,0,<1,"St. Louis, MO",Not Identified
PortlandPolice,73828637,mistergoat,Matt,"Lately tweeting about social justice, disability, and efforts to mediate the ongoing war between dogs & vacuum cleaners. Recently moved from DC to Chicago.",560,711,0.787623066,Chicago,Non-Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,73922604,aricchen,Aric Chen,"Anchor/ Producer/ Correspondent at NTD Television; Editor/ Reporter at The Epoch Times; Opinions are my own. RT=Hey, Look at this. Email: aric.chen@ntdtv.com",8480,2363,3.588658485,New York,Local,0,0,>10,New York City,Media
PortlandPolice,74080246,smirkyc,Chris Dotson,"The bleeps, the sweeps and the creeps.",244,269,0.907063197,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,74090455,shakethebass, Shake ,Building my Castle..brick by brick!,564,564,1,"íëíŸí«íóí«_T: 40.709046,-73.802198",Local,0,0,1->2,New York City,Not Identified
NYPDnews,74387024,samanthasunne,Samantha Sunne,freelancer. have data will travel,782,246,3.178861789,"today: New York, NY",Local,0,0,2->10,New York City,Not Identified
NYPDnews,74450285,ceciliacarey,Cecilia Carey,,22,126,0.174603175,,Missing,0,0,<1,New York City,Not Provided
NYPDnews,74536527,calbear66,Douglass C. Reeves,65yo HIV+ Gay Man,156,246,0.634146341,New York City (Manhattan),Local,0,0,<1,New York City,Not Identified
StocktonPolice,74623173,ctrinchera,C Trinchera,Married - proud mom - Author -shopaholic- volunteer - defender of the disabled - follower of Jesus,143,363,0.393939394,,Missing,0,0,<1,"Stockton, CA, USA",Other Sectors
boulderpolice,74650829,20fo7,Œˆ_í‰Œˆ_í_ ŒˆŒèí_,Another Undercover Brother From The Sandy Bay Social Club. Check RollinOnDubsTV for the best don't test music videos. Thoughts are my own.,490,1126,0.435168739,Aotearoa,Non-Local,0,0,<1,"Boulder, CO",Other Sectors
NYPDnews,74674394,kokoart,K Patt,"I re-invented the past to see the beauty of the future. I want it to shine bright.

Personal Trainer",35,230,0.152173913,,Missing,0,0,<1,New York City,Not Identified
NYPDnews,74778749,snjacobs,Steve Jacobs,"Digital Communications Director @nycgov. Before that there was @bsd and @barackobama. Fond of: Ties, bicycles, and our national parks",946,751,1.259653795,"íëíèT: 40.741553,-73.950973",Local,0,0,1->2,New York City,Other Sectors
PortlandPolice,74782212,gaizkallona,Gaizka Llona,"Leaving the American Dream. Working at IBM, but views expressed here are my own.",28,78,0.358974359,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
SLMPD,75113535,imamazngevrydy,Senecea Jefferson,"Co-owner of Sweet Intentions Bakery, we bake in small batches and use locally sourced,seasonal, all natural, and organic ingredients in all of our products.",177,244,0.725409836,"Richmond,Virginia",Non-Local,0,0,<1,"St. Louis, MO",Not Identified
NYPDnews,75136369,waheedgul,Waheed Gul,Security Consultant - Webmaster - Blogger - Social Media Activist,5203,834,6.238609113,Localhost,Non-Local,0,0,>10,New York City,Not Identified
NYPDnews,75155945,globalsaskatoon,Global Saskatoon,"Serving Saskatoon and area, Global Saskatoon is your choice for local news.",17039,258,66.04263566,"Saskatoon, SK",Non-Local,0,0,>10,New York City,Not Identified
CLEpolice,75210375,crookdriverwmn,Tracy Moavero,"Looking for tweets on nonprofits & politics? Follow me @TracyMoavero. This account is for all things Cleveland. Am home after 17 yrs in DC, NYC & Europe!",1521,1226,1.240619902,"Cleveland, Ohio",Local,0,0,1->2,"Cleveland, OH",Not Identified
NYPDnews,75311496,thfc_cockerel,Barry,"Tottenham supporter, born East End of London, raised in Kent, now live elsewhere. Work in media. Cat's Marmaduke, brother of Portia, sadly both deceased.",918,493,1.862068966,,Missing,0,0,1->2,New York City,Not Identified
NYPDnews,75329401,NA,Mike Saccnuson,Social media fan. News Junkie. Expert on things I know nothing about. Political independent. Deadly curious. Veteran. Don't read too much into RT's!,176,231,0.761904762,Massachusetts,Non-Local,0,0,<1,New York City,Other Sectors
BPDVT,75355226,counseloradrian,Ed Adrian,"Husband, Dad, Attorney, @VPRnet Commentator http://bit.ly/1zqshxu Chair @FletcherFree Former #BTVCC #VT Intersection of #VTpoli & Humor, Tweets í«í‰ Legal Advice",3073,2060,1.491747573,"Burlington, Vermont",Local,0,0,1->2,"Burlington, Vermont",Other Sectors
PortlandPolice,75372530,devilgirlpdx,DevilGirlPDX,"artist, devourer of music, scavenger of books, mischievous fiend, day (job) tripper, observer of beauty and ugliness alike, unabashed cynic, dumb girl",575,230,2.5,"Portland, Oregon",Local,0,0,2->10,"Portland, Oregon",Other Sectors
detroitpolice,75472041,fadda_chris,Giants 0-0,One Umbrella Raptors Nation x Giants Nation Instagram: 1umfaddachris,572,271,2.110701107,Around the ways ,Non-Local,0,0,2->10,"City of Detroit, MI",Not Identified
NYPDnews,75640779,bhqfu,BHQF University,#NAME?,1834,1434,1.278940028,34 ave. a 3rd floor,Non-Local,0,0,1->2,New York City,Not Identified
CLEpolice,75934946,papicek,Brett,"If trade is bad for 0.5N+1 Americans, it's no good for America. #TPP #TTIP #TPA",1859,1610,1.154658385,,Missing,0,0,1->2,"Cleveland, OH",Not Identified
SFPD,75943266,sfmpna,Middle Polk Neighbor,The official Twitter Account for the Middle Polk Neighborhood Association of San Francisco.,174,140,1.242857143,"Polk Street, San Francisco",Local,0,0,1->2,"San Francisco, CA",Not Identified
SFPD,75994242,brenttippen,Brent Tippen,Public and Government Affairs professional at @Chevron. Living and loving life. Views expressed are my own.,1024,1999,0.512256128,"San Francisco, CA",Local,0,0,<1,"San Francisco, CA",Other Sectors
NYPDnews,76085796,foxthechicken,foxthechicken,I work for a living.,751,1122,0.669340463,Dallas,Non-Local,0,0,<1,New York City,Not Identified
PortlandPolice,76113832,facilitationpro,"Mark Fulop, MA, MPH","Facilitation & Process, LLC Partnering with leading-edge nonprofits to create strategy & organizational development solutions that strengthen mission & impact.",893,1672,0.534090909,"Portland, OR",Local,0,0,<1,"Portland, Oregon",Not Identified
NYPDnews,76119867,urbanpopartist,Margarita Korol,Artist President at Urban Pop Art Projects Studio + Public Outreach,445,915,0.486338798,Chicago/ NYC/ LA,Local,0,0,<1,New York City,Other Sectors
oaklandpoliceca,76175221,ashoorina,Ashoorina,Be kind to everything that lives.,482,439,1.097949886,"Willow Glen, CA",Non-Local,0,0,1->2,"Oakland, CA",Not Identified
NYPDnews,76237012,dianalynn1992,Diana Miller,,59,249,0.236947791,"Charlton Heights, WV",Non-Local,0,0,<1,New York City,Not Provided
SFPD,76433444,gridmonte,hey it's Ingrid,business/tech/sustainability. california and all that i love about it.,500,655,0.763358779,San Francisco,Local,0,0,<1,"San Francisco, CA",Not Identified
NYPDnews,76675430,starchasellc,StarChase LLC,The Pursuit Ends Here. 1-888-TAG-TRAC. Interested in a demo? Sign up here: http://starchase.com/takecharge.php #lawenforcement #GPS,650,1163,0.558899398,"Virginia Beach, Virginia",Non-Local,0,0,<1,New York City,Not Identified
NYPDnews,76933037,mtaharlemline,TheHarlemLine,"Graphic designer, photographer, geek. I love history & old things, and write about the Harlem Line, past & present.  #NASATweetup #STS135",1365,589,2.317487267,Harlem One Two Five,Non-Local,0,0,>10,New York City,Other Sectors
NYPDnews,76963875,apelieuproar,Paulo Pereira,,88,257,0.342412451,,Missing,0,0,<1,New York City,Not Provided
SFPD,76986079,brassnucklez,Brass Nucklez,"Telling the Truth Like It Is! Proud American, Gay, Defiant & Moderate! Politically Incorrect with NO apologies. Fuck your stereotype!

#LGBT #UniteBlue",2313,1291,1.791634392,"Everywhere, USA",Non-Local,0,0,1->2,"San Francisco, CA",Not Identified
