PoliceDepartment,UserID,SenderScreename,UserName,senderDescription,senderFollowers,senderFriends,senderTFF,UserLocation,senderLocationTag,sender.agency,sender.comention,sendTFF_range,PDLocation,UserRole
SLMPD,25719595,mepstl,Mary Ellen,Chief of Staff to @MayorSlay. Newlywed. Wannabe yogi. Voracious reader. Dog lover.  Former AmeriCorps Fellow.,1511,752,2.009308511,St. Louis City,Local,0,1,2->10,"St. Louis, MO",Not Identified
SFPD,26703365,scott_wiener,Scott Wiener,"Member, San Francisco Board of Supervisors. Urbanist. Environmentalist. Advocate for transit, housing, parks, trees, healthcare, education, & animals. Democrat.",6714,184,36.48913043,"San Francisco, California",Local,0,1,>10,"San Francisco, CA",Other Sectors
NYPDnews,26783343,downtownnyc,Downtown Alliance,"The Downtown Alliance provides service, advocacy, research & info. to advance Lower Manhattan as a global model of a 21st century Central Business District.",20627,2928,7.044740437,Downtown New York,Local,0,1,2->10,New York City,Polictician
NYPDnews,26996018,nypd_cttf,Det. Martin Green,"NYPD Detective Specialist,(CTTF)Citywide Traffic Task Force Aux.Unit Coordinator/Instructor,Vision Zero St Team,Tough Mudder, USCG,MOTIVATED!DEDICATED!PROUD!",4926,4551,1.082399473,"New York, NY",Local,0,1,1->2,New York City,Not Identified
NYPDnews,27048645,americanlegion,The American Legion ,"Supporting veterans, the military & their families since 1919. Join our efforts: http://www.legion.org/join. RTs do not imply endorsement.",47523,1455,32.66185567,"Indianapolis, IN",Non-Local,0,1,>10,New York City,Not Identified
SLMPD,27172787,presreed,Lewis E. Reed,"Father of 4 great kids, husband, public servant, life long democrat, proud St. Louis City resident, President of the Board of Aldermen http://www.PresReed.com",8208,3074,2.67013663,"St. Louis, MO",Local,0,1,>10,"St. Louis, MO",Other Sectors
NYPDnews,27487492,rorylancman,Rory Lancman,"New York City Councilman (Chair, Committee on Courts & Legal Services); former New York State Assemblyman (Chair, Subcommittee on Workplace Safety).",2728,151,18.06622517,New York,Local,0,1,>10,New York City,Not Identified
CLEpolice,27776708,ida_in_cle,Ida L. H.,Covering Cuyahoga County Common Pleas Court for the @NEO_MediaGroup.,1285,1707,0.75278266,,Missing,0,1,<1,"Cleveland, OH",Other Sectors
CLEpolice,27793335,colorofchange,ColorOfChange.org,Changing the color of democracy.,49312,2269,21.73292199,Oakland & New York City,Non-Local,0,1,>10,"Cleveland, OH",Not Identified
NYPDnews,27995424,johncardillo,John Cardillo,Host of The John Cardillo Show on iheartmedia's 1290 WJNO The Palm Beaches. Debunking frauds & false narratives. Was NYPD. Opinions are mine. RT Œ_í_í_ endorsement.,5596,654,8.556574924,"Miami, FL",Non-Local,0,1,2->10,New York City,Media
PortlandPolice,28057618,robbiedime,Robbie DiMesio,"Managing producer, Breaking News Team, The Oregonian/OregonLive",566,985,0.574619289,"Portland, Oregon",Local,0,1,<1,"Portland, Oregon",Media
PortlandPolice,28179833,portlandcc,PCC,"Portland Community College is changing lives, strengthening our economy and creating a more vibrant community.",1986,402,4.940298507,"Portland, Oregon",Local,0,1,>10,"Portland, Oregon",Other Sectors
CLEpolice,28289170,sarahbuduson,Sarah Buduson,"Searching for innovative investigative stories affecting people across Northeast Ohio

Have a tip? E-mail buduson[at]http://newsnet5.com",2193,2004,1.094311377,"Cleveland, OH",Local,0,1,1->2,"Cleveland, OH",Not Identified
NYPDnews,28502793,tishjames,Letitia James,"NYC Public Advocate, Fmr Council Member, Assistant AG, & Public Defender. Info charts, big ideas, & laughing like a #boss. Call (212) 669-7250 for assistance.",19447,2029,9.584524396,New York City,Local,0,1,2->10,New York City,Polictician
SLMPD,29438864,jhuda,Jasmine Huda,"Anchor/Reporter, KMOV-TV",5023,619,8.114701131,St. Louis,Local,0,1,>10,"St. Louis, MO",Media
CLEpolice,29731923,allaboardohio,All Aboard Ohio,"All Aboard Ohio is a non-profit, member-based organization dedicated to promoting improved public transportation and passenger rail service throughout the state",1424,684,2.081871345,Ohio,Non-Local,0,1,>10,"Cleveland, OH",Other Sectors
detroitpolice,30150466,whutupdoe,Detroit Red,I own 21 Cuckaroo. You don't own one Cuckaroo. The Bill Laimbeer of Rap Commentary | #HailHydra | Music | Lifestyle | UNCENSORED | FB/IG: WHUTUPDOE,4435,1509,2.939032472,313 to 323/818,Non-Local,0,1,>10,"City of Detroit, MI",Not Identified
SFPD,30318395,streetsblogsf,Streetsblog SF,Covering livable streets and sustainable transportation in San Francisco and the Bay Area,72312,1569,46.08795411,"San Francisco, California",Local,0,1,>10,"San Francisco, CA",Not Identified
SFPD,30321204,sfpublicworks,SF Public Works,"...making San Francisco a beautiful, livable, vibrant, and sustainable city.",14174,2688,5.273065476,"San Francisco, CA",Local,0,1,2->10,"San Francisco, CA",Not Identified
SFPD,30343716,sf_emergency,San Francisco DEM,The official profile for the San Francisco Department of Emergency Management for informational purposes only.,77316,152,508.6578947,San Francisco,Local,0,1,>10,"San Francisco, CA",Not Identified
SFPD,30476655,brodiebrazilcsn,Brodie Brazil,"Host of A's, Sharks Pre & Postgame Live | Comcast SportsNet | NBC Bay Area | 95.7 The Game",37241,521,71.47984645,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Media
SFPD,30911833,edreiskin,Ed Reiskin,San Francisco Director of Transportation,2207,168,13.13690476,San Francisco,Local,0,1,>10,"San Francisco, CA",Other Sectors
SLMPD,31005278,lawscomm,Lauri Stevens,#Socialmedia strategist 4 #LawEnforcement. Creator of SMILE Conferenceí«ŒÂ http://t.co/0NTNSIxjŒ_í£Œ¢ #poltwt & the COPPS Social Media MethodŒ_í£Œ¢ #smilecon #lesm #tacop,28297,25080,1.128269537,"Washington, DC",Non-Local,0,1,1->2,"St. Louis, MO",Not Identified
SFPD,31083112,fillmoe4life,El Chapo Guzman Ho,I Sell Shit & Hoes Give Me Money!,2783,663,4.197586727,Undisclosed Location,Non-Local,0,1,>10,"San Francisco, CA",Not Identified
SFPD,33662892,kqedforum,KQED Forum ,KQED's daily call-in show hosted by Michael Krasny. Tweets will be used on-air when appropriate. Moderated by Amanda Stupi.,6311,602,10.4833887,"KQED Public Media, SF CA",Local,0,1,>10,"San Francisco, CA",Not Identified
SFPD,34700777,sfexaminer,SF Examiner,"San Francisco Examiner - Local, breaking news for San Francisco and the Bay Area",35147,332,105.8644578,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Not Identified
SLMPD,35326924,chriskingstl,Chris King,"Journalist by trade; writer, producer, musician, moviemaker by passion. Cofounder of Poetry Scores.",7605,1421,5.351864884,"St Louis, Missouri",Local,0,1,>10,"St. Louis, MO",Media
SLMPD,36099830,chelseakmerta,"Chelsea Merta, Esq.",Attorney & Civil Rights Advocate | Community Activist in the #7thWard | STL City resident | SLU Law & IU Biochem grad | polyglot | gladiator,733,730,1.004109589,STL MO,Non-Local,0,1,1->2,"St. Louis, MO",Other Sectors
SFPD,36183636,sfpd,San Francisco Police,Official Twitter of the San Francisco Police Department. Social Media Policy: http://t.co/Nnf4xnw3X3 Call 911 to report emergencies. Tweets not monitored 24/7.,38970,23,1694.347826,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Police
SLMPD,36217657,chriscarter3,Chris Carter,,2781,844,3.295023697,,Missing,0,1,2->10,"St. Louis, MO",Not Provided
SFPD,36511031,sfgate,SFGate,Twitter home of http://www.sfgate.com. The authority on all things San Francisco and the Bay Area.,188318,650,289.72,San Francisco,Local,0,1,>10,"San Francisco, CA",Not Identified
SLMPD,37255058,laurakhettiger,Laura Hettiger KMOV,@KMOV Reporter. #Fashion Lover. #Marathon Runner. Proud #Illini. #Dog mom. Little Sister. Tweets are my own. RTs are not endorsements.,4659,391,11.91560102,"St. Louis, MO",Local,0,1,>10,"St. Louis, MO",Media
SFPD,37541274,alexsavidgektvu,Alex Savidge,"@KTVU Reporter-Got a story? 

Alex.Savidge@foxtv.com",2615,1261,2.073750991,SF Bay Area,Local,0,1,>10,"San Francisco, CA",Media
NYPDnews,38452560,bpericadams,Eric Adams,Borough President of Brooklyn,8988,1335,6.73258427,"Brooklyn, NY",Local,0,1,2->10,New York City,Polictician
SFPD,38599743,fairfieldpolice,Fairfield Police,"Official Twitter of the Fairfield, Ca  Police Department",2805,30,93.5,"Fairfield, California",Non-Local,0,1,>10,"San Francisco, CA",Police
NYPDnews,38769433,jpeterdonald,J. Peter Donald,"Director of Comms @NYPDNews. Fmr spox @NewYorkFBI. NYU PR grad student. Love news, baseball & Cape Cod. CUA, NMH alum. Views are mine only.",1552,1171,1.325362938,"New York, NY",Local,0,1,1->2,New York City,Other Sectors
NYPDnews,39185354,cool_1ne,ANW Mahatma Brolton,"Dats why my pimp game so moist, I had that Durag and all. http://AwkwordNwords.com - 1/2 of @AwkwordNWords | #PizzaGawd",1733,1007,1.720953327,#BKlien ,Non-Local,0,1,1->2,New York City,Not Identified
SLMPD,39246283,delo_taylor,D,African-in-America. Citizen Journalist. Advocate for Justice. Anti-Racist/Anti-Zionist. Capitalism is a crime. I unanonymously support Anonymous. #IntelGroup,3975,2531,1.570525484,"Baltimore, MD",Non-Local,0,1,1->2,"St. Louis, MO",Media
SLMPD,39397159,kwrose,Keith Rose,Linguist and activist in the St. Louis area. Cosmopolitan farmboy. Queer Leftist veggie. On the ground in #Ferguson.,4735,1114,4.250448833,"Alton, IL",Non-Local,0,1,2->10,"St. Louis, MO",Not Identified
BPDVT,39574847,liamgriffin,Liam Griffin,"Marketing professional, event guru, action sports personality & cycling fanatic. Chasing snow around the globe for over a decade in the name of snowboarding.",964,909,1.060506051,"Burlington, VT",Local,0,1,1->2,"Burlington, Vermont",Other Sectors
SFPD,40343920,sf_chamber,SF Chamber ,"The San Francisco Chamber of Commerce is S.F.'s largest business membership network. Our mission is to attract, develop and support Your Business and Our City.",5446,817,6.665850673,San Francisco,Local,0,1,>10,"San Francisco, CA",Other Sectors
detroitpolice,40770886,glewiswxyz,Glenda Lewis,"WXYZ TV Anchor/Reporter, Always from the heart, Always in the footsteps, Always in my own shoes",9787,2544,3.847091195,,Missing,0,1,2->10,"City of Detroit, MI",Media
SLMPD,41231058,sdpoa,San Diego Police OA,"Founded in 1912, the San Diego Police Officers Association (#SDPOA) represents the more than 1,850 dedicated and professional sworn members of the #SDPD.",3141,499,6.294589178,"San Diego, CA",Non-Local,0,1,2->10,"St. Louis, MO",Police
NYPDnews,42797629,danielleiat,Danielle Tcholakian,Reporter covering Greenwich Village & Soho for @DNAinfo. Previously crime & politics at @metronewyork. Tips please: dtcholakian@dnainfo.com / 917-843-5323,4032,1348,2.991097923,Bed-Stuy,Non-Local,0,1,>10,New York City,Media
SLMPD,42921216,ksdknews,KSDK NewsChannel 5,"Where the News Comes First

for breaking news, weather and 

sports both on-air and online. Retweets are not endorsements. #STLTogether",89253,1522,58.64191853,"St. Louis, Missouri",Local,0,1,>10,"St. Louis, MO",Media
NYPDnews,43763852,rubendiazjr,Ruben Diaz Jr.,Bronx Borough President,9883,3833,2.578398122,"Bronx, NY",Local,0,1,2->10,New York City,Not Identified
CLEpolice,43966920,joecimperman,joecimperman,"Cleveland Councilman Ward 3. Born CLE, Jesuit educated. Relentless advocate of civic pride/progress and human rights. Advocate4positive deviance.",11988,11288,1.062012757,"Cleveland, OH",Local,0,1,1->2,"Cleveland, OH",Other Sectors
VBPD,44145981,vbpd,Virginia Beach PD,"The VBPD is a CALEA Accredited Law Enforcement agency that serves a community of approximately 448,000 residents and 3 million annual tourists.",4858,60,80.96666667,"Virginia Beach, VA",Local,0,1,>10,"Virginia Beach, VA",Other Sectors
NYPDnews,44282421,dominictv,Dominic Carter,"Dominic Carter is a Verizon FiOS News/RNN TV Political Commentator. Dominic Carter has strong conviction for helping young people,and on Foster Care/Child Abuse",736,557,1.321364452,"New York, N.Y",Local,0,1,1->2,New York City,Media
SLMPD,44491920,hmoore013,Heidi Moore ,"MS in CJ,  STL Prison Re-Entry and work 2 abolish death penalty. Ph.D. student Public Policy Program at SLU.",414,408,1.014705882,"St. Louis, MO",Local,0,1,1->2,"St. Louis, MO",Other Sectors
CLEpolice,46213956,jamilsmith,Jamil Smith,"Senior Editor, @tnr. Eclecticist.",41988,1121,37.455843,"Brooklyn, NY",Non-Local,0,1,>10,"Cleveland, OH",Media
NYPDnews,46443333,answerthecall,Answer the Call,New York Police & Fire Widows' & Children's Benefit Fund,595,1128,0.52748227,New York City,Local,0,1,<1,New York City,Police
SFPD,47862165,newsrevo,Revolution News,"Human Struggle for Freedom, in a World Divided by Nations",30315,1831,16.55652649,,Missing,0,1,>10,"San Francisco, CA",Not Identified
sppdPIO,48372576,bolderoptions,Bolder Options,"Bolder Options is an innovative organization focused on healthy youth development through activity-based mentoring, tutoring and health & wellness.",783,810,0.966666667,"Minneapolis, MN",Non-Local,0,1,<1,"St. Paul, MN",Not Identified
SLMPD,48924617,jenniferemccoy,Jennifer McCoy,Your inappropriate friend /  Right-on parent / Attorney activist / Autism enthusiast / Beyond breast cancer,1010,1253,0.806065443,"St. Louis, MO",Local,0,1,<1,"St. Louis, MO",Not Identified
detroitpolice,49044325,ossimjones,The Darkest Timeline,Expanding my horizons until I'm standing on an island.,161,284,0.566901408,,Missing,0,1,<1,"City of Detroit, MI",Not Identified
boulderpolice,57619896,7newsnow,7NewsNOW KMGH-TV,,3736,157,23.79617834,,Missing,0,1,>10,"Boulder, CO",Not Provided
NYPDnews,57674145,njspba,New Jersey State PBA,Official twitter NJ State PBA,5127,22,233.0454545,Woodbridge NJ,Non-Local,0,1,>10,New York City,Not Identified
PortlandPolice,59908549,pdxalerts,Portland OR Alerts,We post live alerts of current police & fire incidents in the Portland (OR) Metro area. We are NOT an official agency & tweets are unconfirmed.,15993,221,72.36651584,"Portland, OR",Local,0,1,>10,"Portland, Oregon",Police
SFPD,62603645,morganicsf,Morgan Fitzgibbons,Resilient Community Organizing. The Wigg Party. [freespace]. Urban Eating League. USF Professor of Environmental Studies. The Revolution Will Be Organized.,945,1343,0.703648548,"The Wiggle, San Francisco",Local,0,1,<1,"San Francisco, CA",Not Identified
NYPDnews,64054704,hyperallergic,hyperallergic,The World's Greatest Art Blogazine covering art and its discontents,59641,996,59.88052209,"Brooklyn, NY",Local,0,1,>10,New York City,Not Identified
SFPD,64269958,thedapperdiner,Dapper Diner,"I eat. My 4 basic food groups are foie gras, sweetbread, truffle, & pork belly. All posts are solely the thoughts of my 5th personality. I am offensive.",5005,2477,2.020589423,CA,Non-Local,0,1,2->10,"San Francisco, CA",Not Identified
NYPDnews,66858922,ydanis,Ydanis Rodriguez,Father Educator @NYCCouncil Transpo Comm Chair y luchador por las comunidades de Washington Heights Hudson Heights Ft George Inwood and Marble Hill #UNITEBlue,6400,1568,4.081632653,"Northern Manhattan, NY",Local,0,1,2->10,New York City,Other Sectors
NYPDnews,67206566,jennfalk,Jennifer E. Falk,"Chief Exec @UnionSquareNY. Former @mikebloomberg's office. Married to @tonycorrao. Proud Twin Mom. Exec Bd Member @JCRC. Opinions are my own, except retweets.",297,473,0.627906977,"Brooklyn, NY",Local,0,1,<1,New York City,Other Sectors
SLMPD,69011562,sgtbetsysmith,Betsy Brantner Smith,"#Police Trainer, Author, Consultant plus a #mom, grandma & wife who is passionate about officer safety, leadership, #guns & America! Follow @thebucksavage too!",4502,1376,3.271802326,USA,Non-Local,0,1,>10,"St. Louis, MO",Police
SLMPD,69071652,mike_colombo,Mike Colombo,Award-winning journalist at KMOV.,3297,1360,2.424264706,"Saint Louis, MO",Local,0,1,2->10,"St. Louis, MO",Media
oaklandpoliceca,69938125,terrylee__,15 Ws Left,#Texans. Pay Me In Gold.,1791,534,3.353932584,Dreamville.,Non-Local,0,1,>10,"Oakland, CA",Not Identified
NYPDnews,70279712,katie_honan,katie honan,"Reporter for @dnainfo covering jackson heights, corona, elmhurst, rockaway. Aspiring drummer. @cunyjschool alum.  khonan@dnainfo.com / 917-504-7505",4488,2316,1.937823834,QUEENS,Non-Local,0,1,1->2,New York City,Media
SpokanePD,73120259,pullmanpolice,PullmanPolice,"Call 911 to report emergencies. Site is not monitored 24/7. Comments & list of followers subject to public disclosure.

260 SE Kamiaken St",1872,116,16.13793103,"Pullman, WA 99163",Non-Local,0,1,>10,"Spokane, WA",Police
NYPDnews,75013475,nycrabbi,Rabbi @ Your Service,Police Chaplain & Hospital Liaison,522,165,3.163636364,Rapid Response Chaplain,Non-Local,0,1,2->10,New York City,Police
NYPDnews,76260264,patgatien,Patrick Gatien,"IronMan Canada Finisher, Father of 3, @Hootsuite owl and I delivered my own baby son...not by choice!",482,734,0.656675749,Canada,Non-Local,0,1,<1,New York City,Not Identified
PortlandPolice,77126235,koindesk,KOIN Assignment desk,News from the assignment desk of KOIN 6,6945,957,7.257053292,"Portland, OR",Local,0,1,2->10,"Portland, Oregon",Media
NYPDnews,81897374,ufanyc,UFA,"Official Twitter Account of the Uniformed Firefighters Association.  We represent Firefighters, Fire Marshals, Marine Engineers, Pilots and Wipers of the FDNY.",2634,242,10.88429752,New York City,Local,0,1,>10,New York City,Not Identified
NYPDnews,82437677,uptowncollectiv,Uptown Collective,The Uptown Collective is the voice of Uptown Online. Spread love itŒ_í_ŒÈs the Uptown Way! Curated by @Led_Black #WHIN #WashHts #Inwood #Harlem #NYC,4152,2116,1.962192817,"Washington Heights, NYC",Local,0,1,1->2,New York City,Not Identified
NYPDnews,82943769,bklyneagle,Brooklyn Daily Eagle,Everything Brooklyn since 1841 | #Brooklyn's number 1 news stream,13617,2379,5.723833544,"Brooklyn, NY",Local,0,1,>10,New York City,Media
SLMPD,83039463,mariachappellen,MariaChappelleNadal,"Member of the MO General Assembly. Owner of Bart, Hoppe & Pascal. Eclectic in style. Fly-at-the-mouth. http://www.senate.mo.gov/14info/members/mem14.htm",12164,883,13.77576444,"University City, MO",Non-Local,0,1,>10,"St. Louis, MO",Not Identified
NYPDnews,84169171,ygaddie,A$AP ANT / ygAddieRO,"A$AP MOB MARINO GANG RECORDS YOUNG NIGGAS RUN EVERYTHING.



for booking marinogangbookings@gmail.com",50015,2679,18.66927958,#BaltimoreUSA,Non-Local,0,1,>10,New York City,Other Sectors
SFPD,86734122,mentalhealthcop,Insp Michael Brown,"National Mental Health Coordinator at the @CollegeofPolice - seconded from @WMPolice. A venn diagram of policing, mental health and criminal justice.",25705,999,25.73073073,United Kingdom,Non-Local,0,1,>10,"San Francisco, CA",Not Identified
NYPDnews,90746809,chriswragge,Chris Wragge,"Chris Wragge's Official Twitter Page, CBS News Anchor, NYC, former anchor of The Early Show, fmr NBC Sports reporter, Correspondent for ET, always a QB! #GMEN",15966,3090,5.166990291,New York City,Local,0,1,>10,New York City,Media
oaklandpoliceca,90895400,srobertskron4,Stanley Roberts,@KRON4News reporter and creator of the award winning People Behaving Badly Segment that airs daily #KRON4 #peoplebehavingbadly My Tweets are not an endorsement.,4584,803,5.708592777,San Francisco Bay Area ,Non-Local,0,1,>10,"Oakland, CA",Media
SFPD,91176384,beyondchron,Beyond Chron,San Francisco's Alternative Online Daily,1914,110,17.4,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Not Identified
NYPDnews,92701441,artaid,ArtAID,Art in service of humanity. Art that inspires and elevates the human spirit in times of need. Art for charity. Art for change. Art engaging artists for society.,213,1431,0.14884696,"New York, USA",Local,0,1,<1,New York City,Not Identified
SFPD,93256503,stolenbikessfo,BikeIndex SF,"Listing stolen bikes in and around San Francisco, CA.",1909,1741,1.096496267,"San Francisco, CA",Local,0,1,1->2,"San Francisco, CA",Not Identified
NYPDnews,100030015,kshighwaypatrol,KS Highway Patrol,"Official Twitter of KHP. Service, Courtesy, Protection. Please call dispatch at *47 (*HP) if you need help on a KS highway, as our Twitter isn't monitored 24/7.",14950,125,119.6,"Kansas, USA",Non-Local,0,1,>10,New York City,Police
SFPD,101638451,suzyloftus,Suzy Loftus,President of the San Francisco Police Commission.  Mother of 3.  Seeker of justice -- at home and at work.  Opinions are my own.,617,1398,0.441344778,"íëíèT: 37.78202,-122.426146",Non-Local,0,1,<1,"San Francisco, CA",Media
SLMPD,102862980,alwaysactions,Worldwide Actions,"Advertise with AlwaysActions

Contact us at 718-526-4760 or AlwaysActions@gmail.com",7483,208,35.97596154,New York City,Non-Local,0,1,>10,"St. Louis, MO",Not Identified
NYPDnews,104589290,nycgreenfield,David G. Greenfield,Father. Husband. Neighbor. NYC Council Member. Land Use Chair.,8404,630,13.33968254,"Brooklyn, NY",Local,0,1,>10,New York City,Polictician
PortlandPolice,105583426,bikephantom,Bike Phantom,I'm out there...   riding my bike,42,55,0.763636364,"Portland, Oregon",Local,0,1,<1,"Portland, Oregon",Not Identified
CLEpolice,106239126,homabash,Homa Bash,"@WEWS NewsChannel 5 reporter. Arkansas & Northwestern grad. Oklahoma girl. Lover of books & animals, Dr. Pepper & sunsets. Opinions are my own ;)",2241,749,2.991989319,"Cleveland, OH",Local,0,1,2->10,"Cleveland, OH",Media
SFPD,106433398,uppityfag,Patrick Connors,"Husband in one of CA FIRST 18,000 married same-sex couples!! I continue keeping track of the heteros as they transgress with impunity. Fun! Poop!",4253,4430,0.960045147,"San Francisco, CA",Local,0,1,<1,"San Francisco, CA",Not Identified
SFPD,108449475,sfcta,SFCTA,The Transportation Authority spearheads long-range planning and allocates funding for transportation-related projects in San Francisco.,2199,250,8.796,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Not Identified
CLEpolice,108652732,provhousecle,Providence House,"Providence House fights to end child abuse & neglect by protecting at-risk children, empowering families in crisis & building safe communities for every child.",1698,594,2.858585859,"Cleveland, Ohio",Local,0,1,>10,"Cleveland, OH",Not Identified
NYPDnews,109071031,senatorcardin,Senator Ben Cardin,Updates from the Office of U.S. Senator Ben Cardin - #Maryland,27783,276,100.6630435,"Maryland/Washington, DC",Non-Local,0,1,>10,New York City,Not Identified
CLEpolice,109456108,acluohio,ACLU of Ohio,"Dedicated to maintaining and extending constitutional and other fundamental rights, liberties, privileges, and immunities.",3328,322,10.33540373,"Ohio, USA",Non-Local,0,1,>10,"Cleveland, OH",Other Sectors
NYPDnews,112823255,felixwortiz,Felix W Ortiz,"Assistant Speaker of the New York State Assembly; representing 51st AD in Brooklyn; Co-Chair, NCSL International Relations Task Force",984,593,1.659359191,,Missing,0,1,1->2,New York City,Not Identified
NYPDnews,115403449,nyrrt,NYRRT,Youtube Channel: http://www.youtube.com/nyrrt84,514,381,1.349081365,NY Rescue Response Team,Local,0,1,1->2,New York City,Not Identified
sppdPIO,116972225,blacktwincities,Black Twin Cities,FREE Black-owned Business directory and event listings. Featuring the Minneapolis/St. Paul African-American community. Follow our owner @LaJuanaWhitmore,1663,502,3.312749004,"Minneapolis St. Paul, MN",Local,0,1,>10,"St. Paul, MN",Not Identified
NYPDnews,117118416,fairfaxpolice,FairfaxCounty Police,"Official Fairfax County Police Dept. Do not use Twitter to report crimes. Call 911 for emergencies, 703-691-2131 for non-emergencies. RTs are not endorsements.",32363,60,539.3833333,"Fairfax County, VA",Non-Local,0,1,>10,New York City,Police
NYPDnews,117445602,atlantic_live,AtlanticLIVE,"We bring journalism to life. Building on @TheAtlantic's editorial legacy, we gather top thinkers and leaders to engage audiences in person and online.",6587,1072,6.144589552,"Washington, DC",Non-Local,0,1,>10,New York City,Not Identified
PortlandPolice,118190794,washcoscanner,Wash Co Scanner,"A mix of the serious & sometimes crazy stuff heard on the Washington County, OR scanner ~NOT CONFIRMED INFO ~",8350,3373,2.475541061,Washington County Oregon,Non-Local,0,1,2->10,"Portland, Oregon",Not Identified
NYPDnews,120153772,womenintheworld,Women in the World,"In association with @NYTimes. Convening women leaders, activists & change-makers to share stories & offer solutions for a better life for women & girls. #WITW",149045,1552,96.03414948,"New York, NY",Local,0,1,>10,New York City,Not Identified
SLMPD,121490598,yourmsd,MSD St Louis,"Updates from  the Metropolitan St Louis Sewer District (MSD). Feed is monitored M-F, 8a to 5p. After hours, call 314-768-6260.",1651,934,1.767665953,"St. Louis, Missouri",Local,0,1,1->2,"St. Louis, MO",Polictician
StocktonPolice,121572025,thevikchick,Vicki Walden,MoGrammy with #WhitePrivilege standing in solidarity w/the #BlackLivesMatter movement. Flag stays in distress til it means the same for ALL!,2134,1985,1.075062972,#SGF,Non-Local,0,1,1->2,"Stockton, CA, USA",Not Identified
SFPD,121597316,sfchronicle,The Chronicle,The Voice of the West. The Voice of San Francisco and the Bay Area.,49016,186,263.5268817,"San Francisco, CA",Local,0,1,>10,"San Francisco, CA",Not Identified
StocktonPolice,123445116,bestofca,California Picks,"Discover great restaurants, cool bars and the very best local deals available right now in California!",3819,811,4.709001233,"Sacramento, CA",Non-Local,0,1,2->10,"Stockton, CA, USA",Not Identified
boulderpolice,124596235,communitycycles,Community Cycles,Boulder's only non-profit bike shop. Join us in creating bike culture in Boulder!,802,485,1.653608247,"Boulder, Colorado",Local,0,1,1->2,"Boulder, CO",Other Sectors
PortlandPolice,124814437,ptsantilli,Pete Santilli,"Proud 'Leave-Me-The-Heck-Alone-ist' Don't mess with me. Don't take my stuff.  Shining light on Conservatives, Liberals, Tea-Partiers, Communists & Socialists",15432,4736,3.258445946,Iceland,Non-Local,0,1,2->10,"Portland, Oregon",Not Identified
SFPD,125462718,thesnitchsf,SF Weekly news blog,,7812,608,12.84868421,San Francisco,Local,0,1,>10,"San Francisco, CA",Not Provided
BPDVT,126012801,philiptortora,Philip Tortora,"Audience Analyst at @bfp_news. Enjoy the outdoors, sports, craft beer & social media. Fan of NY Giants, Sun Devils & UConn. Awful skier. @asu grad.",2678,1471,1.820530252,"Burlington, Vermont",Local,0,1,1->2,"Burlington, Vermont",Other Sectors
detroitpolice,126082864,detroitpolice,Detroit Police Dept.,Official Twitter Site of the Detroit Police Department. Follow us for up-to-the minute information about the City and the Department.,9418,306,30.77777778,"City of Detroit, MI",Local,0,1,>10,"City of Detroit, MI",Not Identified
NYPDnews,128673641,nyc_oz,John A. Oswald,"Editor, Writer, Web Producer, Social Maven. Editor-at-large http://www.metro.us; Contributor http://jdforward.com. Full-time mensch. http://instagram.com/nyc.oz",868,1026,0.846003899,"New York, NY",Local,0,1,<1,New York City,Media
SFPD,128750686,streetsblognyc,Streetsblog New York,"Covering livable streets and sustainable transportation in the five boroughs. Tweets by @BenFried, @BradAaron, and @miller_stephen",15757,598,26.34949833,New York City,Non-Local,0,1,>10,"San Francisco, CA",Not Identified
SLMPD,129023268,cherokeestreet,Cherokee Street,,1092,640,1.70625,"Saint Louis, MO",Local,0,1,1->2,"St. Louis, MO",Not Provided
VBPD,129928763,ayo80proof,Ya B.M. Side Nigga,Just Tryna Get These Tweets Off!! 215 Native 757 Resident.. Earthwide Asshole #Eagles #Buckeyes #BlueDevils #TeamNoPullout,1508,1286,1.172628305,Amongst the other assholes,Non-Local,0,1,1->2,"Virginia Beach, VA",Not Identified
oaklandpoliceca,130254641,oaklandpoliceca,Oakland Police Dept.,Twitter not routinely monitored; tweets not substitute for emergency/non-emerg calls or other process. Administrated by OPD Media Unit.,19604,230,85.23478261,"Oakland, CA",Local,0,1,>10,"Oakland, CA",Not Identified
SFPD,130513726,vivianho,Vivian Ho,"SF Chronicle reporter who covers, but is only sometimes covered in, crime and grime. @sfkale once called me Joan of Narrative Arc. vho@sfchronicle.com",8726,1492,5.848525469,San Francisco,Local,0,1,2->10,"San Francisco, CA",Media
NYPDnews,132235973,nyscanner,NYC Scanner ,"Just keeping you posted that NYC Never sleeps always in for actionŒ_í‡Œ_ See Something Say SomethingŒ_í‡_



Email us photos at: NYScanner@nybuff.org",62350,97,642.7835052, NYC,Local,0,1,>10,New York City,Not Identified
NYPDnews,132496568,agschneiderman,Eric Schneiderman,Official Twitter account of New York State Attorney General Eric T. Schneiderman,15519,679,22.8556701,New York,Local,0,1,>10,New York City,Other Sectors
